Image,PSNR,SSIM
49.png,9.27,0.4152
5.png,11.19,0.4341
50.png,10.01,0.4146
51.png,9.29,0.4020
52.png,9.52,0.4029
53.png,10.75,0.4362
54.png,10.01,0.4062
55.png,9.87,0.4139
56.png,9.84,0.3765
57.png,9.50,0.3938
58.png,11.16,0.4002
59.png,10.00,0.4051
6.png,11.19,0.4401
60.png,9.86,0.4195
61.png,10.12,0.4223
62.png,11.17,0.4643
63.png,10.20,0.4333
64.png,10.14,0.4184
65.png,9.90,0.3972
66.png,10.56,0.4342
67.png,10.59,0.3886
68.png,9.38,0.3775
69.png,10.05,0.4049
7.png,12.06,0.4232
70.png,9.92,0.4182
71.png,9.55,0.3867
72.png,10.33,0.4227
73.png,10.62,0.4464
74.png,10.80,0.4752
75.png,11.12,0.4859
76.png,10.94,0.4601
77.png,10.51,0.4492
78.png,11.23,0.4227
79.png,12.49,0.5226
8.png,9.99,0.3864
80.png,11.46,0.4806
81.png,11.70,0.4845
82.png,11.81,0.4999
83.png,11.44,0.5031
84.png,10.48,0.4347
85.png,12.27,0.5209
86.png,10.45,0.4439
87.png,11.01,0.4758
88.png,11.04,0.4653
89.png,12.11,0.4564
9.png,11.06,0.4691
90.png,10.08,0.4160
91.png,11.48,0.4782
92.png,11.45,0.4934
93.png,11.56,0.4963
94.png,9.60,0.4502
95.png,10.68,0.4907
96.png,9.56,0.4551
97.png,11.61,0.4885
98.png,11.36,0.5141
99.png,12.10,0.4844
Average,12.39,0.5392
